symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
NVDA,2019-07-25 00:00:00+00:00,173.38,177.5,172.44,176.99,9817453,43.1023070467,44.1265399745,42.868622835,43.9997538597,39269812,0.0,1.0
NVDA,2019-07-26 00:00:00+00:00,175.07,176.95,174.47,174.47,6853997,43.5224414273,43.9898098507,43.3732812922,43.3732812922,27415988,0.0,1.0
NVDA,2019-07-29 00:00:00+00:00,174.82,175.47,171.27,174.78,6204049,43.460291371,43.6218815174,42.5777605715,43.450347362,24816196,0.0,1.0
NVDA,2019-07-30 00:00:00+00:00,175.45,175.94,172.37,172.95,4944261,43.6169095129,43.7387236232,42.8512208192,42.9954089498,19777044,0.0,1.0
NVDA,2019-07-31 00:00:00+00:00,168.72,174.22,167.02,174.18,8985391,41.9438299972,43.3111312359,41.5212096144,43.3011872269,35941564,0.0,1.0
NVDA,2019-08-01 00:00:00+00:00,164.92,172.78,162.82,169.14,10530314,40.9991491414,42.9531469116,40.4770886685,42.0482420918,42121256,0.0,1.0
NVDA,2019-08-02 00:00:00+00:00,161.19,163.98,159.28,161.19,10708732,40.0718703014,40.7654649297,39.5970438712,40.0718703014,42834928,0.0,1.0
NVDA,2019-08-05 00:00:00+00:00,150.79,153.85,148.9,153.8,14728936,37.4864279592,38.2471446484,37.0165735336,38.2347146371,58915744,0.0,1.0
NVDA,2019-08-06 00:00:00+00:00,152.35,155.63,150.43,153.8,9031767,37.8742443105,38.6896530492,37.3969318781,38.2347146371,36127068,0.0,1.0
NVDA,2019-08-07 00:00:00+00:00,153.89,154.37,149.2,149.9,9314045,38.2570886574,38.3764167655,37.0911536011,37.2651737588,37256180,0.0,1.0
NVDA,2019-08-08 00:00:00+00:00,158.26,158.31,153.9,156.21,7732472,39.3434716415,39.3559016528,38.2595746596,38.8338411799,30929888,0.0,1.0
NVDA,2019-08-09 00:00:00+00:00,154.18,156.75,152.15,156.61,8545418,38.3291827227,38.9680853015,37.8245242655,38.9332812699,34181672,0.0,1.0
NVDA,2019-08-12 00:00:00+00:00,151.45,154.18,150.57,152.08,6980012,37.6505041079,38.3291827227,37.4317359097,37.8071222497,27920048,0.0,1.0
NVDA,2019-08-13 00:00:00+00:00,156.05,157.9,149.82,151.39,9012811,38.7940651438,39.2539755605,37.2452857408,37.6355880943,36051244,0.0,1.0
NVDA,2019-08-14 00:00:00+00:00,150.07,152.95,148.31,152.5,10497033,37.3074357971,38.0234044457,36.8698994007,37.9115343443,41988132,0.0,1.0
